Team,Phase of Play,Action,Quarter,Zone,Count
home,attack,circle entry,1,1,0
home,attack,circle entry,1,2,0
home,attack,circle entry,1,3,0
home,attack,circle entry,1,4,1
home,attack,circle entry,1,5,0
home,attack,circle entry,1,6,1
home,attack,circle entry,1,7,0
home,attack,circle entry,1,8,0
home,attack,circle entry,1,9,0
home,attack,circle entry,2,1,0
home,attack,circle entry,2,2,1
home,attack,circle entry,2,3,0
home,attack,circle entry,2,4,0
home,attack,circle entry,2,5,0
home,attack,circle entry,2,6,1
home,attack,circle entry,2,7,0
home,attack,circle entry,2,8,0
home,attack,circle entry,2,9,2
home,attack,circle entry,3,1,0
home,attack,circle entry,3,2,1
home,attack,circle entry,3,3,1
home,attack,circle entry,3,4,0
home,attack,circle entry,3,5,1
home,attack,circle entry,3,6,3
home,attack,circle entry,3,7,0
home,attack,circle entry,3,8,0
home,attack,circle entry,3,9,2
home,attack,circle entry,4,1,0
home,attack,circle entry,4,2,2
home,attack,circle entry,4,3,0
home,attack,circle entry,4,4,1
home,attack,circle entry,4,5,0
home,attack,circle entry,4,6,3
home,attack,circle entry,4,7,2
home,attack,circle entry,4,8,0
home,attack,circle entry,4,9,1
away,attack,circle entry,1,1,0
away,attack,circle entry,1,2,2
away,attack,circle entry,1,3,0
away,attack,circle entry,1,4,0
away,attack,circle entry,1,5,0
away,attack,circle entry,1,6,1
away,attack,circle entry,1,7,0
away,attack,circle entry,1,8,0
away,attack,circle entry,1,9,0
away,attack,circle entry,2,1,0
away,attack,circle entry,2,2,1
away,attack,circle entry,2,3,1
away,attack,circle entry,2,4,0
away,attack,circle entry,2,5,1
away,attack,circle entry,2,6,1
away,attack,circle entry,2,7,1
away,attack,circle entry,2,8,0
away,attack,circle entry,2,9,0
away,attack,circle entry,3,1,0
away,attack,circle entry,3,2,0
away,attack,circle entry,3,3,0
away,attack,circle entry,3,4,0
away,attack,circle entry,3,5,1
away,attack,circle entry,3,6,1
away,attack,circle entry,3,7,2
away,attack,circle entry,3,8,0
away,attack,circle entry,3,9,0
away,attack,circle entry,4,1,0
away,attack,circle entry,4,2,0
away,attack,circle entry,4,3,0
away,attack,circle entry,4,4,0
away,attack,circle entry,4,5,0
away,attack,circle entry,4,6,0
away,attack,circle entry,4,7,0
away,attack,circle entry,4,8,0
away,attack,circle entry,4,9,0
