Team,Phase of Play,Action,Quarter,x,y,Count
home,attack,pass received,1,1,4,2
home,attack,pass received,1,2,4,1
home,attack,pass received,1,3,4,0
home,attack,pass received,1,4,4,0
home,attack,pass received,1,5,4,1
home,attack,pass received,1,1,3,1
home,attack,pass received,1,2,3,2
home,attack,pass received,1,3,3,1
home,attack,pass received,1,4,3,1
home,attack,pass received,1,5,3,3
home,attack,pass received,1,1,2,7
home,attack,pass received,1,2,2,3
home,attack,pass received,1,3,2,1
home,attack,pass received,1,4,2,2
home,attack,pass received,1,5,2,5
home,attack,pass received,1,1,1,4
home,attack,pass received,1,2,1,4
home,attack,pass received,1,3,1,3
home,attack,pass received,1,4,1,4
home,attack,pass received,1,5,1,4
home,attack,pass received,2,1,4,1
home,attack,pass received,2,2,4,0
home,attack,pass received,2,3,4,0
home,attack,pass received,2,4,4,0
home,attack,pass received,2,5,4,0
home,attack,pass received,2,1,3,5
home,attack,pass received,2,2,3,1
home,attack,pass received,2,3,3,2
home,attack,pass received,2,4,3,3
home,attack,pass received,2,5,3,2
home,attack,pass received,2,1,2,5
home,attack,pass received,2,2,2,1
home,attack,pass received,2,3,2,3
home,attack,pass received,2,4,2,2
home,attack,pass received,2,5,2,2
home,attack,pass received,2,1,1,2
home,attack,pass received,2,2,1,1
home,attack,pass received,2,3,1,0
home,attack,pass received,2,4,1,0
home,attack,pass received,2,5,1,2
home,attack,pass received,3,1,4,0
home,attack,pass received,3,2,4,0
home,attack,pass received,3,3,4,0
home,attack,pass received,3,4,4,0
home,attack,pass received,3,5,4,0
home,attack,pass received,3,1,3,4
home,attack,pass received,3,2,3,0
home,attack,pass received,3,3,3,2
home,attack,pass received,3,4,3,5
home,attack,pass received,3,5,3,3
home,attack,pass received,3,1,2,4
home,attack,pass received,3,2,2,3
home,attack,pass received,3,3,2,1
home,attack,pass received,3,4,2,1
home,attack,pass received,3,5,2,4
home,attack,pass received,3,1,1,2
home,attack,pass received,3,2,1,0
home,attack,pass received,3,3,1,1
home,attack,pass received,3,4,1,3
home,attack,pass received,3,5,1,9
home,attack,pass received,4,1,4,0
home,attack,pass received,4,2,4,0
home,attack,pass received,4,3,4,0
home,attack,pass received,4,4,4,0
home,attack,pass received,4,5,4,0
home,attack,pass received,4,1,3,1
home,attack,pass received,4,2,3,1
home,attack,pass received,4,3,3,3
home,attack,pass received,4,4,3,1
home,attack,pass received,4,5,3,2
home,attack,pass received,4,1,2,1
home,attack,pass received,4,2,2,1
home,attack,pass received,4,3,2,2
home,attack,pass received,4,4,2,1
home,attack,pass received,4,5,2,5
home,attack,pass received,4,1,1,5
home,attack,pass received,4,2,1,1
home,attack,pass received,4,3,1,1
home,attack,pass received,4,4,1,3
home,attack,pass received,4,5,1,1
home,defensive transition,pass missed,1,1,4,0
home,defensive transition,pass missed,1,2,4,2
home,defensive transition,pass missed,1,3,4,0
home,defensive transition,pass missed,1,4,4,0
home,defensive transition,pass missed,1,5,4,0
home,defensive transition,pass missed,1,1,3,3
